# Coulesia story graph — alignment-keyed grid
#
# Every level past 1 has up to 9 nodes, one per D&D alignment.
# Node IDs: "<level>-<alignment-code>" where the code is one of
#   lg ng cg   ln tn cn   le ne ce
# Routing: each choice button has data-law and data-good (integers).
# story.js applies the deltas, computes the new alignment bucket
# (threshold T=2), and routes to "<level+1>-<bucket>.html"
# automatically. No data-next attributes.
#
# Exceptions to the 9-per-level rule:
#   - Level 0 is one intro node (0-a)
#   - Level 1 is gender-distinct (1-m / 1-f), routed by 0-a's form
#
# Vacant slots (alignments not first-pass reachable at a given level)
# are listed below for tracking. They may stay vacant or be filled
# later if a re-entry mechanism is added.

# ── Beat anchors ─────────────────────────────────────────────────────
# L0  Waking (name, gender)
# L1  The man in the ditch
# L2  Your hands' first wage
# L3  The stranger who reads you
# L4  The second man in the ditch
# L5  A name from before
# L6  The first reckoning
# L7  The road answers
# L8  The threshold
# L9  What the room costs

# ── Level 0 ──────────────────────────────────────────────────────────
0-a                                    # intro; form routes to 1-m / 1-f

# ── Level 1 ──────────────────────────────────────────────────────────
1-m   male body, man in the ditch
1-f   female body, man in the ditch
# Each L1 node has three choices with the same deltas:
#   help  +2 law / +2 good   → state (2, 2)   → 2-lg
#   hide  -2 law / +1 good   → state (-2, 1)  → 2-cn
#   rob   -1 law / -3 good   → state (-1, -3) → 2-ne

# ── Level 2 — Your hands' first wage ─────────────────────────────────
#     C  -1/+2  → (-2,-12)/(0,-13)/(1,-11)/(2,-15)/(-3,-7)/(-3,-5)   → 9-ne/9-ce
#   8-ce  state ~(-6,-20) to (-11,-21); also (-4,-21)/(-8,-19)/(-9,-22)
#     A  -1/-3  → (-7,-23)/(-12,-24)/(-5,-24)/(-9,-22)/(-10,-25) → 9-ce
#     B  +1/-4  → (-5,-24)/(-10,-25)/(-3,-25)/(-7,-23)/(-8,-26)  → 9-ce
#     C  -2/-4  → (-8,-24)/(-13,-25)/(-6,-25)/(-10,-23)/(-11,-26) → 9-ce

# ── Level 9 — What the room costs ────────────────────────────────────
# Beat anchor: the morning (or evening) after the L8 threshold. Whatever
# the L8 scene named — column, kin, book, folder, bench, ridge,
# brick-floor, counter, bothy — has set a concrete price on the table.
# A new fifth voice (a person never seen at any previous level, drawn
# from the current generation rather than from before) arrives with the
# first specific instance of that price. The player makes the first act
# from the new authority — or refuses to act from it.

9-lg   The Column at the Bell of the Third  (Marziyeh the scribe at the south-stair writing-room; Maziar Karimi at the senior post's cell)
9-ng   The Cooper at the Inner Door         (Bahram come up from the next valley by the back gate; the cooper's wife at the loaf; Banu Mahin at the rice)
9-cg   The Forge at the Second Pruning-Shed (an old country forge-keeper at the bellows; Anahid the young runner with the morning's news of the bishop's dust-blue at Behesht)
9-ln   The Lieutenant at the Map-Table      (Lieutenant Hosrov from Khaboran's second tower with the bishop's dispatch and the order's packet at the corners of a map)
9-tn   The Bench at the Western Stage       (Father Marvan, a country priest at no parish, at a wayside fountain three farsang past the ferry)
9-cn   The Widow at the Stone Cistern       (Tahmineh at an unmarked country holding a half-day west of the herder's shelter; a child of three at her knee)
9-le   The Iron at the Brick-Floor          (Father Vali, the bishop's deacon-of-the-south, at the small triangular table; the cooper at the cell; the iron at the second hook)
9-ne   The First Consignment at the Inner Yard (Daryush the narrow man, two country men at an ox-cart, a thin chained boy at the cart's tail; four small packets at the canvas)
9-ce   The Bowl's Saddle at the New Moon    (Reza of the second orchard's widow's son at the leader's right shoulder; the small grey order-shirt at the stone shelf at the saddle's near edge)

# L9 choice deltas and L10 destinations:
#   9-lg  state ~(8,8) to (11,9); also lower arrivals down to ~(2,2)
#     A  +2/+1  → 10-lg   ride to read Maziar at the cell at the order's pace
#     B  +1/+2  → 10-lg   bring the case to the matron's south-stair parlour
#     C  -3/+2  → 10-lg/10-ng   walk down, ride alone, open the cell
#   9-ng  state ~(2,10) to (5,6); also lower arrivals from 8-ln C and similar
#     A  +2/+2  → 10-lg/10-ng   stay; write the matron's letter in the cooper's wife's hand
#     B   0/+2  → 10-ng         walk on; leave the silver; send no name
#     C  -2/+2  → 10-cg/10-ng   take the cooper's family out at the back gate
#   9-cg  state ~(-6,14) to (-13,13)
#     A  -1/+3  → 10-cg   ride back with Anahid; take the cooper's family east
#     B  -2/+2  → 10-cg   stay at the forge; reset the stages; walk east with Anahid
#     C  -3/+1  → 10-cg   take the satchel; goat-track south alone
#   9-ln  state ~(8,3) to (11,3)
#     A  +3/ 0  → 10-lg/10-ln   take the captain's chair; redirect the dust-blue
#     B  +2/+1  → 10-lg/10-ln   ride at the second horse with Hosrov
#     C  -2/+2  → 10-lg/10-ng   leave the packet; take the dispatch; ride west
#   9-tn  state ~(0,1) to (3,2); also (-2,-2)/(1,-1)
#     A  +2/+1  → 10-lg/10-ln   take the priest's counsel; walk south at his pace
#     B  +1/ 0  → 10-tn/10-lg   speak of the bench only; walk on alone
#     C  -2/-3  → 10-ce/10-tn/10-ne   take his purse; walk on
#   9-cn  state ~(-9,5) to (-15,1)
#     A  -1/+2  → 10-cg/10-cn   take her work; stay at the holding
#     B  -2/ 0  → 10-cg/10-cn   walk on alone; take no work
#     C  -2/-3  → 10-cn/10-ce   take the donkey; take the flour; leave the cistern
#   9-le  state ~(11,-11) to (5,-14)
#     A  +2/-3  → 10-le   the iron at the table; the order's pace
#     B  +3/-1  → 10-le   the confession at hearsay; the cooper signs
#     C  +1/-4  → 10-le   build a standing post at Behesht's lane's foot
#   9-ne  state ~(-1,-17) to (3,-20); also less extreme arrivals
#     A   0/-3  → 10-ne   take the packets and the boy
#     B  +2/-2  → 10-ne/10-le   take the packets, refuse the boy
#     C  -1/+2  → 10-ne/10-cn/10-ce   refuse the column; walk the boy out
#   9-ce  state ~(-7,-23) to (-13,-25)
#     A  -1/-3  → 10-ce   ride back to Sadaiziche to Bardas's door
#     B  +1/-4  → 10-ce   ride east through Asha's pass at the new moon
#     C  -2/-4  → 10-ce   ride back as the order's brother at the bowl's lead

# ── Level 10 — TODO ──────────────────────────────────────────────────
# Reachable L10 buckets from L9: all nine (full grid by multi-parent
# fan-out). The L10 beat anchor is open. Candidates: "The first ride
# back" (the act answers the next day's road) and "Who comes when
# the door is open" (the second party that L9's first act draws in).
